Movie Name,Rating,Runtime,Genre,Metascore,Plot,Directors,Stars,Votes,Gross,Link
The Godfather,9.2,175 min,"Crime, Drama",100,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",1914405,"134,966,411",https://www.imdb.com/title/tt0068646/
The Shawshank Redemption,9.3,142 min,Drama,82,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",2751997,"28,341,469",https://www.imdb.com/title/tt0111161/
Shichinin no samurai,8.6,207 min,"Action, Drama",98,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",353392,"269,061",https://www.imdb.com/title/tt0047478/
Cidade de Deus,8.6,130 min,"Crime, Drama",79,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles,"Kátia Lund, Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen",772169,"7,563,397",https://www.imdb.com/title/tt0317248/
The Godfather Part II,9,202 min,"Crime, Drama",90,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",1303664,"57,300,000",https://www.imdb.com/title/tt0071562/
Pulp Fiction,8.9,154 min,"Crime, Drama",95,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",2113984,"107,928,762",https://www.imdb.com/title/tt0110912/
12 Angry Men,9,96 min,"Crime, Drama",97,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",815045,"4,360,000",https://www.imdb.com/title/tt0050083/
One Flew Over the Cuckoo's Nest,8.7,133 min,Drama,84,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco",1030410,"112,000,000",https://www.imdb.com/title/tt0073486/
The Lord of the Rings: The Return of the King,9,201 min,"Action, Adventure, Drama",94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",1890666,"377,845,905",https://www.imdb.com/title/tt0167260/
Schindler's List,9,195 min,"Biography, Drama, History",95,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall",1387670,"96,898,818",https://www.imdb.com/title/tt0108052/
